,asset,chrtagnt,clcode,effdate,fdicregn,name,trust,total_violations,unique_violations,year,decade,violation,no_violation
0,,STATE,13,07/01/1981,New York,Northeast Bank of Sanford,,0.0,0.0,1981,1980,0.0,1.0
1,712714.0,STATE,13,03/07/2002,Dallas,Bank of Bentonville,1.0,0.0,0.0,2002,2000,0.0,1.0
2,338215.0,OCC,3,04/30/2018,Atlanta,"Progressive Bank, National Association",1.0,0.0,0.0,2018,2010,0.0,1.0
3,126549.0,STATE,13,10/16/1998,Atlanta,First Citizens Bank & Trust Company,1.0,0.0,0.0,1998,1990,0.0,1.0
4,144049.0,STATE,21,08/31/2022,Chicago,Ergo Bank,0.0,0.0,0.0,2022,2020,0.0,1.0
5,227248.0,STATE,21,05/14/1988,Chicago,"Valley Bank, Green Bay",0.0,0.0,0.0,1988,1980,0.0,1.0
6,64216.0,STATE,21,01/01/1999,Chicago,Jefferson County Bank,0.0,0.0,0.0,1999,1990,0.0,1.0
7,310272.0,STATE,21,07/12/2019,Chicago,Partnership Bank,0.0,0.0,0.0,2019,2010,0.0,1.0
8,18781.0,STATE,21,11/01/1995,Chicago,Bank of Elkhart Lake,0.0,0.0,0.0,1995,1990,0.0,1.0
9,711480.0,STATE,21,11/18/1989,Chicago,"Bank One, Waukesha",0.0,0.0,0.0,1989,1980,0.0,1.0
10,114443.0,STATE,21,01/01/2017,Chicago,Mason State Bank,0.0,0.0,0.0,2017,2010,0.0,1.0
11,382346.0,STATE,21,08/31/2022,Chicago,Woodford State Bank,0.0,0.0,0.0,2022,2020,0.0,1.0
12,207276.0,STATE,21,08/31/2022,Chicago,The Portage County Bank,0.0,0.0,0.0,2022,2020,0.0,1.0
13,274783.0,STATE,21,12/07/1996,Chicago,"Bank One, Beaver Dam",1.0,0.0,0.0,1996,1990,0.0,1.0
14,118827.0,STATE,21,02/01/1994,Chicago,M&I Peoples Bank,0.0,0.0,0.0,1994,1990,0.0,1.0
15,150653.0,STATE,21,08/31/2022,Chicago,Security Bank,0.0,0.0,0.0,2022,2020,0.0,1.0
16,16016.0,STATE,21,12/12/1995,Chicago,First State Bank of Prairie Farm,0.0,0.0,0.0,1995,1990,0.0,1.0
17,87518.0,OCC,3,10/30/1987,Atlanta,The Union National Bank of Oxford,0.0,0.0,0.0,1987,1980,0.0,1.0
18,,OCC,3,01/03/1983,New York,BankEast National Bank,,0.0,0.0,1983,1980,0.0,1.0
19,2074657.0,STATE,21,04/14/2000,Chicago,Mercantile Bank of Illinois,1.0,0.0,0.0,2000,2000,0.0,1.0
20,78099.0,OCC,3,05/07/1990,Chicago,National Bank of Monticello,1.0,0.0,0.0,1990,1990,0.0,1.0
