,asset,chrtagnt,clcode,effdate,fdicregn,name,trust,total_violations,unique_violations,year,decade,violation,no_violation
430,197439.0,OCC,33,08/31/2022,Kansas City,"Community Development Bank, FSB",0.0,1.0,1.0,2022,2020,1.0,0.0
1432,358303.0,OCC,33,11/01/2014,Chicago,"Lafayette Savings Bank, FSB",0.0,3.0,3.0,2014,2010,1.0,0.0
1454,344058.0,STATE,41,07/11/1994,New York,Johnstown Interim Bank,1.0,1.0,1.0,1994,1990,1.0,0.0
2109,35099327.0,OCC,33,11/01/2015,New York,Hudson City Savings Bank,1.0,5.0,5.0,2015,2010,1.0,0.0
3759,44549.0,STATE,21,07/12/2017,Dallas,Robert Lee State Bank,0.0,2.0,2.0,2017,2010,1.0,0.0
4102,211749.0,STATE,21,08/31/2022,Kansas City,Northwest Bank & Trust Company,1.0,1.0,1.0,2022,2020,1.0,0.0
4186,50291366.0,OTS,43,10/03/1998,San Francisco,"Home Savings of America, FSB",1.0,4.0,4.0,1998,1990,1.0,0.0
4221,662309.0,OTS,43,03/08/2002,New York,Mohawk Community Bank,0.0,1.0,1.0,2002,2000,1.0,0.0
4229,2093569.0,OTS,44,08/12/1994,New York,"The Lincoln Savings Bank, FSB",0.0,1.0,1.0,1994,1990,1.0,0.0
4252,319842.0,OTS,33,04/01/2011,New York,The Rome Savings Bank,0.0,1.0,1.0,2011,2010,1.0,0.0
4271,613561.0,STATE,15,05/14/2022,New York,Elmira Savings Bank,0.0,2.0,2.0,2022,2020,1.0,0.0
4274,32925808.0,OCC,3,10/08/2016,New York,"First Niagara Bank, National Association",0.0,2.0,2.0,2016,2010,1.0,0.0
4281,27971169.0,OTS,43,01/07/2002,New York,"The Dime Savings Bank of New York, FSB",1.0,4.0,4.0,2002,2000,1.0,0.0
4282,6775780.0,STATE,21,02/01/2021,New York,Dime Community Bank,0.0,1.0,1.0,2021,2020,1.0,0.0
4304,4106674.0,STATE,41,10/03/1997,New York,The Rochester Community Savings Bank,1.0,1.0,1.0,1997,1990,1.0,0.0
4310,372013.0,OCC,33,08/31/2022,New York,Generations Bank,0.0,1.0,1.0,2022,2020,1.0,0.0
4319,4452428.0,OCC,33,03/01/2013,New York,"Flushing Savings Bank, FSB",0.0,5.0,5.0,2013,2010,1.0,0.0
4515,799761.0,STATE,21,08/31/2022,Kansas City,Peoples Bank,1.0,1.0,1.0,2022,2020,1.0,0.0
5400,509074.0,OTS,43,10/10/1991,New York,"Numerica Savings Bank, FSB",1.0,1.0,1.0,1991,1990,1.0,0.0
5882,2977290.0,OTS,33,04/15/2011,Atlanta,Superior Bank,1.0,3.0,3.0,2011,2010,1.0,0.0
5926,5673314.0,STATE,13,08/31/2022,New York,Brookline  Bank,0.0,4.0,4.0,2022,2020,1.0,0.0
6694,35742491.0,STATE,21,09/01/2007,New York,Citizens Bank of Massachusetts,1.0,1.0,1.0,2007,2000,1.0,0.0
7825,830449.0,OCC,33,10/16/2015,New York,The Bank of Maine,0.0,5.0,5.0,2015,2010,1.0,0.0
8594,267458.0,OCC,33,12/30/2013,Kansas City,"Liberty Bank, F.S.B.",0.0,2.0,2.0,2013,2010,1.0,0.0
